county,month,covid,retail
BROOMFIELD,2/1/2021,3111.9,#N/A
BROOMFIELD,3/1/2021,4188.8,#N/A
BROOMFIELD,4/1/2021,4601.2,#N/A
BROOMFIELD,5/1/2021,2320.5,#N/A
BROOMFIELD,6/1/2021,804.6,#N/A
CHAFFEE,3/1/2020,250.3,#N/A
CHAFFEE,4/1/2020,530.1,#N/A
CHAFFEE,5/1/2020,107.8,#N/A
CHAFFEE,6/1/2020,211.4,#N/A
CHAFFEE,7/1/2020,854.5,#N/A
CHAFFEE,8/1/2020,766.3,#N/A
CHAFFEE,9/1/2020,711.7,#N/A
CHAFFEE,10/1/2020,2450.6,#N/A
CHAFFEE,11/1/2020,5466.3,#N/A
CHAFFEE,12/1/2020,8300.3,#N/A
CHAFFEE,1/1/2021,7141.4,#N/A
CHAFFEE,2/1/2021,4886.9,#N/A
CHAFFEE,3/1/2021,1385.3,#N/A
CHAFFEE,4/1/2021,3624.4,#N/A
CHAFFEE,5/1/2021,3634.3,#N/A
CHAFFEE,6/1/2021,1168.6,#N/A
CHEYENNE,3/1/2020,0,#N/A
CHEYENNE,4/1/2020,0,#N/A
CHEYENNE,5/1/2020,1918,#N/A
CHEYENNE,6/1/2020,0,#N/A
CHEYENNE,7/1/2020,1096,#N/A
CHEYENNE,8/1/2020,438.4,#N/A
CHEYENNE,9/1/2020,1918,#N/A
CHEYENNE,10/1/2020,548,#N/A
CHEYENNE,11/1/2020,15945.1,#N/A
CHEYENNE,12/1/2020,12109.5,#N/A
CHEYENNE,1/1/2021,11562.2,#N/A
CHEYENNE,2/1/2021,3562,#N/A
CHEYENNE,3/1/2021,383.6,#N/A
CHEYENNE,4/1/2021,0,#N/A
CHEYENNE,5/1/2021,383.6,#N/A
CHEYENNE,6/1/2021,0,#N/A
CLEAR CREEK,3/1/2020,277.3,86776
CLEAR CREEK,4/1/2020,718.5,72735
CLEAR CREEK,5/1/2020,297.8,75119
CLEAR CREEK,6/1/2020,144.2,80826
CLEAR CREEK,7/1/2020,554.1,108741
CLEAR CREEK,8/1/2020,544.4,129793
