month,covid_cases
3/1/2020,13406.9
4/1/2020,54730.5
5/1/2020,56333.8
6/1/2020,54130.6
7/1/2020,82326.4
8/1/2020,61197.6
9/1/2020,63361.7
10/1/2020,178507.6
11/1/2020,779849.1
12/1/2020,831612
1/1/2021,547573.3
2/1/2021,246646.4
3/1/2021,210807
4/1/2021,229292.1
5/1/2021,231133.9
6/1/2021,100326
